61;07
64;08
80;08
107;09
150;09
177;10
219;10
247;11
259;11
266;12
269;13
263;13
238;14
215;14
192;14
165;15
162;16
143;16
54;07
59;08
71;09
83;09
114;10
128;10
148;11
162;11
178;12
183;12
175;12
179;13
174;13
158;14
145;14
129;15
121;16
114;16
58;07
63;08
70;08
95;09
135;10
160;10
177;10
191;11
199;12
206;12
198;12
208;13
200;13
175;14
158;15
153;15
135;16
129;16
58;08
61;08
75;09
103;09
128;09
172;10
188;10
199;11
210;12
206;12
200;13
201;13
193;14
181;14
172;15
159;15
158;15
132;16
58;07
61;08
75;08
104;09
158;10
191;10
223;10
254;11
306;12
320;12
348;13
357;13
395;14
400;14
395;14
406;15
381;16
365;16
42;08
42;08
43;09
43;09
50;09
64;10
100;11
126;11
148;11
170;12
189;13
205;13
208;14
209;14
191;15
180;15
155;16
133;16
54;08
56;08
65;09
73;09
92;10
113;10
144;10
149;11
159;11
171;12
176;13
172;13
161;14
154;14
137;14
129;15
130;15
114;16
56;08
64;08
74;08
93;09
129;09
167;10
200;10
219;11
225;12
221;12
217;13
217;13
208;14
191;14
167;15
159;15
150;16
127;16
51;08
57;08
64;09
73;09
99;10
112;10
127;11
128;11
143;12
158;12
157;13
164;13
167;14
159;14
140;15
128;15
121;15
111;16
58;07
65;08
76;09
97;09
127;09
166;10
200;11
220;11
230;11
231;12
214;13
203;13
205;13
181;14
162;15
144;15
132;16
130;16
53;08
57;08
67;09
100;09
134;10
157;10
205;11
220;11
224;12
213;12
205;13
201;13
182;14
174;14
171;15
161;15
138;16
134;16
53;08
63;08
77;09
101;09
154;10
171;10
211;11
239;11
276;12
297;12
332;13
352;13
391;14
409;14
442;15
428;15
412;16
393;16
48;08
48;08
55;09
57;09
57;10
56;10
56;11
56;11
65;12
105;12
131;13
146;13
170;14
180;14
192;15
185;15
173;15
154;16
50;08
54;08
66;09
76;09
112;10
119;10
144;11
153;11
159;12
154;12
154;12
157;13
161;14
147;14
133;14
121;15
115;15
110;16
57;08
60;08
72;09
91;09
145;10
178;10
220;11
228;11
231;12
224;12
237;13
227;13
226;13
200;14
165;15
157;15
149;15
124;16
49;08
51;08
59;08
76;09
105;09
135;10
156;10
177;11
181;11
171;12
165;12
167;13
161;13
156;14
144;14
127;15
117;15
110;16
57;07
59;08
72;08
93;09
130;09
156;10
198;10
239;11
261;11
324;12
359;12
380;13
408;13
430;14
424;14
403;15
384;15
340;16
47;07
48;08
51;08
50;09
54;09
60;10
80;10
107;11
125;11
144;12
175;13
192;13
215;13
226;14
219;14
215;15
179;15
150;16
47;07
55;08
62;09
73;09
87;09
114;10
137;11
155;11
173;12
191;12
198;12
208;13
219;13
215;14
209;14
209;15
192;16
175;16
54;08
55;08
82;09
95;09
129;09
173;10
202;10
249;11
290;12
303;12
331;13
345;13
363;13
365;14
340;15
302;15
273;15
226;16
56;07
63;08
70;08
87;09
108;09
125;10
159;10
182;11
198;11
205;12
231;12
244;13
260;13
267;14
252;14
238;15
212;15
180;16
54;07
60;08
69;08
90;09
102;09
117;10
160;10
189;11
207;11
222;12
247;12
271;13
279;13
280;14
266;14
263;15
241;15
225;16
57;08
57;08
69;08
99;09
135;10
171;10
196;10
230;11
262;12
269;12
266;13
275;13
296;14
290;14
282;15
269;15
256;16
220;16
51;07
56;08
66;08
91;09
124;09
164;10
213;10
267;11
314;12
339;12
338;12
368;13
366;13
374;14
414;14
417;15
417;15
369;16
43;07
43;07
43;07
44;08
45;08
44;09
47;09
61;10
84;10
107;11
122;11
142;12
169;13
177;13
182;13
183;14
157;15
147;15
49;08
58;08
67;09
92;09
111;10
129;10
166;11
178;11
198;12
199;12
198;13
201;13
189;13
185;14
160;15
141;15
130;16
121;16
50;08
54;08
69;09
91;09
135;10
163;10
185;11
207;11
239;12
244;12
243;13
241;13
229;14
199;14
180;15
167;15
153;16
133;16
50;07
52;08
57;08
81;09
97;09
125;10
144;10
167;11
169;11
184;12
192;13
188;13
188;14
171;14
153;14
130;15
